,title,location1,location2,location3,area,orientation,room_type,price
5543,整租·畅家巷小区 2室1厅 东,城关区,东方红广场,畅家巷小区,63.00㎡,东,2室1厅1卫,2500
5544,整租·欣欣嘉园（东区） 2室2厅 南/西南,城关区,东部,欣欣嘉园（东区）,94.04㎡,南 西南,2室2厅1卫,2400
5545,整租·三易旺族丽景 2室2厅 东北,城关区,北面滩,三易旺族丽景,95.00㎡,东北,2室2厅1卫,2000
5546,整租·辰北花园 2室2厅 南/北,城关区,北面滩,辰北花园,114.00㎡,南 北,2室2厅1卫,2300
5547,整租·临夏路 2室1厅 东/南/西,城关区,西关南关,临夏路,81.00㎡,东 南 西,2室1厅1卫,2400
5548,整租·市国资物业（民勤街） 2室1厅 南/北,城关区,西关南关,市国资物业（民勤街）,60.00㎡,南 北,2室1厅1卫,2200
5549,整租·祥和苑 2室1厅 东/西,城关区,五泉广场,祥和苑,65.00㎡,东 西,2室1厅1卫,2200
5550,整租·静安小区 2室2厅 南/北,城关区,西关南关,静安小区,100.00㎡,南 北,2室2厅1卫,2200
5551,整租·天庆嘉园水云阁 2室2厅 南/北,城关区,雁滩高新区,天庆嘉园水云阁,85.00㎡,南 北,2室2厅1卫,2500
5552,整租·天庆丽舍情园 2室1厅 南,城关区,北面滩,天庆丽舍情园,71.00㎡,南,2室1厅1卫,2300
5553,整租·街道文化站小区（盐场路） 2室2厅 南,城关区,大沙坪,街道文化站小区（盐场路）,94.47㎡,南,2室2厅1卫,2500
5554,整租·静安小区 2室1厅 东北,城关区,西关南关,静安小区,42.00㎡,东北,2室1厅1卫,2200
5555,整租·天庆花园 2室2厅 南/北,城关区,雁滩高新区,天庆花园,99.00㎡,南 北,2室2厅1卫,2400
5556,整租·兰州财经大学长青学院鱼池口校区 2室1厅 南,城关区,东部,兰州财经大学长青学院鱼池口校区,80.00㎡,南,2室1厅1卫,2000
5557,整租·康乐花园 2室2厅 南/北,城关区,雁滩高新区,康乐花园,99.52㎡,南 北,2室2厅1卫,2100
5558,整租·甘肃省纺织品进出口公司家属院 2室2厅 南/北,城关区,兰大盘旋路,甘肃省纺织品进出口公司家属院,108.00㎡,南 北,2室2厅1卫,2200
5559,整租·嘉潤苑 2室2厅 西北,城关区,万达大润发,嘉潤苑,90.00㎡,西北,2室2厅1卫,2000
5560,整租·东湖小区 2室1厅 南/西,城关区,段家滩,东湖小区,57.00㎡,南 西,2室1厅1卫,2000
5561,整租·人民法院均家滩家属楼 2室2厅 南,城关区,雁滩高新区,人民法院均家滩家属楼,78.00㎡,南,2室2厅1卫,2000
5562,整租·燕子楼 2室1厅 西,城关区,东方红广场,燕子楼,80.00㎡,西,2室1厅1卫,2500
5563,整租·静安小区 2室1厅 南/北,城关区,西关南关,静安小区,70.00㎡,南 北,2室1厅1卫,2200
