,Unnamed: 0,title,location1,location2,location3,area,orientation,room_type,price
6134,6134,整租·南河新村小区 4室1厅 南/北,城关区,兰大盘旋路,南河新村小区,100.00㎡,南 北,4室1厅1卫,1700
6135,6135,整租·约克郡二号院 4室2厅 南/北,城关区,碧桂园,约克郡二号院,140.33㎡,南 北,4室2厅2卫,1800
6136,6136,整租·海德郡二号院 4室2厅 南/北,城关区,碧桂园,海德郡二号院,126.60㎡,南 北,4室2厅2卫,1500
6137,6137,整租·兰州碧桂园文璟城 4室2厅 南/北,城关区,碧桂园,兰州碧桂园文璟城,141.00㎡,南 北,4室2厅2卫,1800
6138,6138,整租·档案馆旁边家属院 2室1厅 东,七里河区,建工局,档案馆旁边家属院,60.00㎡,东,2室1厅1卫,1000
6139,6139,整租·农行家属院（西津西路） 2室1厅 南,七里河区,郑家庄,农行家属院（西津西路）,88.00㎡,南,2室1厅1卫,1400
6142,6142,整租·城投孙家台小区 2室1厅 南/北,七里河区,下西园,城投孙家台小区,80.00㎡,南 北,2室1厅1卫,1400
6143,6143,整租·建工局西院 2室1厅 东/西,七里河区,建工局,建工局西院,58.80㎡,东 西,2室1厅1卫,1300
6146,6146,整租·恒大名都 2室2厅 南,七里河区,秀川,恒大名都,85.00㎡,南,2室2厅1卫,1500
6147,6147,整租·欣德小区 2室1厅 南/北,七里河区,晏家坪,欣德小区,77.02㎡,南 北,2室1厅1卫,1500
6148,6148,整租·七里河区林业局家属院 2室1厅 南/北,七里河区,建工局,七里河区林业局家属院,70.00㎡,南 北,2室1厅1卫,1400
6150,6150,整租·晏北人家 2室2厅 南/北,七里河区,晏家坪,晏北人家,80.11㎡,南 北,2室2厅1卫,1400
6151,6151,整租·兰石（敦煌路） 2室1厅 南/北,七里河区,吴家园,兰石（敦煌路）,65.00㎡,南 北,2室1厅1卫,1300
6152,6152,整租·土门墩商储家园 2室1厅 南/北,七里河区,仁恒美林郡,土门墩商储家园,66.00㎡,南 北,2室1厅1卫,1200
6153,6153,整租·兰州军供站家属院 2室1厅 南/北,七里河区,建工局,兰州军供站家属院,60.00㎡,南 北,2室1厅1卫,1300
6157,6157,整租·兰木小区 2室1厅 南,七里河区,吴家园,兰木小区,53.00㎡,南,2室1厅1卫,1400
6158,6158,整租·滨河花园 2室1厅 南/北,七里河区,吴家园,滨河花园,94.00㎡,南 北,2室1厅1卫,1350
6160,6160,整租·国资委第三十八家园 2室1厅 南,七里河区,晏家坪,国资委第三十八家园,65.00㎡,南,2室1厅1卫,1100
6162,6162,整租·兰州搪瓷厂家属院 2室1厅 南,七里河区,晏家坪,兰州搪瓷厂家属院,51.10㎡,南,2室1厅1卫,1350
6164,6164,整租·省邮政机械厂家属院 2室1厅 南,七里河区,晏家坪,省邮政机械厂家属院,75.00㎡,南,2室1厅1卫,1300
6165,6165,整租·磨沟沿小区 2室0厅 南,七里河区,下西园,磨沟沿小区,43.00㎡,南,2室0厅1卫,1400
6167,6167,整租·广宇小区 2室1厅 东,七里河区,下西园,广宇小区,49.50㎡,东,2室1厅1卫,1000
6168,6168,整租·土门墩小区 2室1厅 南/北,七里河区,晏家坪,土门墩小区,74.00㎡,南 北,2室1厅1卫,1300
6169,6169,整租·吉安花园 2室1厅 南,七里河区,西站,吉安花园,50.00㎡,南,2室1厅1卫,1200
6170,6170,整租·甘肃建投安装建设集团吴家园小区 2室0厅 南/北,七里河区,吴家园,甘肃建投安装建设集团吴家园小区,40.00㎡,南 北,2室0厅1卫,1400
6171,6171,整租·丽景苑 2室1厅 东/西,七里河区,曦华源,丽景苑,45.00㎡,东 西,2室1厅1卫,1200
6172,6172,整租·省邮政机械厂家属院 2室1厅 南/北,七里河区,晏家坪,省邮政机械厂家属院,74.00㎡,南 北,2室1厅1卫,1300
6173,6173,整租·兰木小区 2室1厅 东,七里河区,吴家园,兰木小区,40.00㎡,东,2室1厅1卫,1400
6174,6174,整租·晏家坪小区 2室1厅 南,七里河区,晏家坪,晏家坪小区,50.00㎡,南,2室1厅1卫,1000
6175,6175,整租·电力小区（瓜州路） 2室1厅 东/西,七里河区,吴家园,电力小区（瓜州路）,60.00㎡,东 西,2室1厅1卫,1400
6178,6178,整租·兰石家属院（郑家庄） 2室1厅 南/北,七里河区,金港城,兰石家属院（郑家庄）,48.00㎡,南 北,2室1厅1卫,1100
6183,6183,整租·金港城（金宝花园） 2室1厅 南/北,七里河区,金港城,金港城（金宝花园）,66.00㎡,南 北,2室1厅1卫,1400
6184,6184,整租·兰通厂家属院 2室1厅 南/北,七里河区,郑家庄,兰通厂家属院,53.00㎡,南 北,2室1厅1卫,1100
6185,6185,整租·金港城（金安花园） 2室1厅 南/北,七里河区,金港城,金港城（金安花园）,55.00㎡,南 北,2室1厅1卫,1200
6186,6186,整租·晏家坪小区 2室1厅 南,七里河区,晏家坪,晏家坪小区,46.00㎡,南,2室1厅1卫,1100
6187,6187,整租·兰州电力修造厂西家属院 2室1厅 南/北,七里河区,金港城,兰州电力修造厂西家属院,48.77㎡,南 北,2室1厅1卫,1500
6188,6188,整租·丽景苑 2室1厅 东/西,七里河区,曦华源,丽景苑,87.00㎡,东 西,2室1厅1卫,1500
6189,6189,整租·兰西东闸口小区 2室1厅 南,七里河区,建工局,兰西东闸口小区,62.00㎡,南,2室1厅1卫,1500
6190,6190,整租·晏和家园 2室1厅 南/北,七里河区,晏家坪,晏和家园,50.00㎡,南 北,2室1厅1卫,1300
6191,6191,整租·机车厂四区 2室1厅 南/北,七里河区,晏家坪,机车厂四区,53.00㎡,南 北,2室1厅1卫,1000
6193,6193,整租·机车厂一区家属院 2室1厅 南/北,七里河区,建工局,机车厂一区家属院,46.00㎡,南 北,2室1厅1卫,1350
6195,6195,整租·兰州市肉联厂西家属院 2室2厅 南/北,七里河区,郑家庄,兰州市肉联厂西家属院,92.88㎡,南 北,2室2厅1卫,1400
6196,6196,整租·金港城（金海花园） 2室1厅 东南,七里河区,金港城,金港城（金海花园）,73.09㎡,东南,2室1厅1卫,1400
6197,6197,整租·金港城（金宝花园） 2室1厅 南/北,七里河区,金港城,金港城（金宝花园）,69.00㎡,南 北,2室1厅2卫,1400
6199,6199,整租·胶鞋厂家属院 2室1厅 南/北,七里河区,晏家坪,胶鞋厂家属院,60.00㎡,南 北,2室1厅1卫,1300
6202,6202,整租·艾黎小区 2室0厅 东/西,七里河区,吴家园,艾黎小区,40.00㎡,东 西,2室0厅1卫,1000
6203,6203,整租·秀川新村 2室1厅 南,七里河区,秀川,秀川新村,44.25㎡,南,2室1厅1卫,1000
6204,6204,整租·建工东院（建工中街） 2室1厅 南/北,七里河区,建工局,建工东院（建工中街）,74.00㎡,南 北,2室1厅1卫,1500
6206,6206,整租·林家佳苑 2室1厅 南,七里河区,上西园,林家佳苑,86.00㎡,南,2室1厅1卫,1300
6207,6207,整租·教育局家属院（下西园） 2室1厅 南/北,七里河区,建工局,教育局家属院（下西园）,57.00㎡,南 北,2室1厅1卫,1200
6209,6209,整租·兰州万达城 2室1厅 南/北,七里河区,秀川,兰州万达城,85.00㎡,南 北,2室1厅1卫,1200
6210,6210,整租·建工局西院 2室1厅 南/北,七里河区,建工局,建工局西院,60.00㎡,南 北,2室1厅1卫,1400
6211,6211,整租·兰州轴承厂家属院（光华街） 2室1厅 南/北,七里河区,金港城,兰州轴承厂家属院（光华街）,64.00㎡,南 北,2室1厅1卫,1400
6216,6216,整租·兰铁分局八队家属院 2室1厅 南/北,七里河区,晏家坪,兰铁分局八队家属院,57.00㎡,南 北,2室1厅1卫,1200
6220,6220,整租·兰石二通厂家属院 2室1厅 东/西,七里河区,郑家庄,兰石二通厂家属院,59.07㎡,东 西,2室1厅1卫,1000
6230,6230,整租·职工医院家属院（西津西路） 2室0厅 南,七里河区,秀川,职工医院家属院（西津西路）,53.00㎡,南,2室0厅1卫,1200
6236,6236,整租·梅园小区 2室1厅 南,七里河区,五泉广场,梅园小区,98.80㎡,南,2室1厅1卫,1300
6237,6237,整租·五星花园 2室2厅 南/北,七里河区,五泉广场,五星花园,94.80㎡,南 北,2室2厅1卫,1200
6238,6238,整租·金惠佳苑 2室1厅 南/北,七里河区,金港城,金惠佳苑,80.00㎡,南 北,2室1厅1卫,1000
6239,6239,整租·郑家庄新社区 2室2厅 南/北,七里河区,金港城,郑家庄新社区,120.00㎡,南 北,2室2厅1卫,1400
6240,6240,整租·电力修造厂东小区（光华街） 2室2厅 南/北,七里河区,金港城,电力修造厂东小区（光华街）,90.00㎡,南 北,2室2厅1卫,1300
6241,6241,整租·郑家庄新社区 2室1厅 北,七里河区,金港城,郑家庄新社区,83.00㎡,北,2室1厅1卫,1400
6243,6243,整租·土门墩商储家园 2室1厅 南,七里河区,仁恒美林郡,土门墩商储家园,75.00㎡,南,2室1厅1卫,1200
6244,6244,整租·丽景苑 2室1厅 南,七里河区,曦华源,丽景苑,70.00㎡,南,2室1厅1卫,1300
6245,6245,整租·土门墩粮库家属院 2室1厅 南/北,七里河区,西站,土门墩粮库家属院,64.00㎡,南 北,2室1厅1卫,1300
6246,6246,整租·十二客运公司家属院 2室2厅 南/北,七里河区,仁恒美林郡,十二客运公司家属院,59.98㎡,南 北,2室2厅1卫,1300
6248,6248,整租·兰通厂家属院 2室0厅 南,七里河区,郑家庄,兰通厂家属院,43.00㎡,南,2室0厅1卫,1000
6249,6249,整租·土门墩粮库家属院 2室1厅 南/北,七里河区,西站,土门墩粮库家属院,53.00㎡,南 北,2室1厅1卫,1200
6255,6255,整租·金港城（金宝花园） 2室1厅 南/北,七里河区,金港城,金港城（金宝花园）,68.00㎡,南 北,2室1厅1卫,1400
6256,6256,整租·金港城（金海花园） 2室1厅 西南,七里河区,金港城,金港城（金海花园）,73.00㎡,西南,2室1厅1卫,1400
6263,6263,整租·金港城（金安花园） 2室1厅 南/北,七里河区,金港城,金港城（金安花园）,58.00㎡,南 北,2室1厅1卫,1300
6264,6264,整租·西华苑小区 2室1厅 南/北,七里河区,小西湖,西华苑小区,85.67㎡,南 北,2室1厅1卫,1400
6265,6265,整租·新津小区东院 2室1厅 南/北,七里河区,建工局,新津小区东院,85.00㎡,南 北,2室1厅1卫,1300
6267,6267,整租·广健花园 2室1厅 南/北,七里河区,龚家湾,广健花园,91.00㎡,南 北,2室1厅1卫,1000
6268,6268,整租·建工局西院 2室1厅 东/西,七里河区,建工局,建工局西院,57.00㎡,东 西,2室1厅1卫,1300
6269,6269,整租·中参雅园 2室1厅 南/北,七里河区,龚家湾,中参雅园,88.59㎡,南 北,2室1厅1卫,1500
6270,6270,整租·建兰丽苑 2室1厅 南,七里河区,晏家坪,建兰丽苑,80.00㎡,南,2室1厅1卫,1200
6271,6271,整租·兰州轴承厂家属院（光华街） 2室0厅 南,七里河区,金港城,兰州轴承厂家属院（光华街）,55.00㎡,南,2室0厅1卫,1400
6272,6272,整租·兰塑塑业有限公司家属楼 2室1厅 南,七里河区,晏家坪,兰塑塑业有限公司家属楼,103.00㎡,南,2室1厅1卫,1400
6273,6273,整租·祥和家园（华林路） 2室2厅 南/北,七里河区,五泉广场,祥和家园（华林路）,96.00㎡,南 北,2室2厅1卫,1200
6274,6274,整租·变压器厂家属院 2室1厅 南/北,七里河区,吴家园,变压器厂家属院,40.00㎡,南 北,2室1厅1卫,1200
6275,6275,整租·省邮政机械厂家属院 2室1厅 南,七里河区,晏家坪,省邮政机械厂家属院,78.00㎡,南,2室1厅1卫,1400
6276,6276,整租·福宁雅苑 2室2厅 南,七里河区,吴家园,福宁雅苑,100.00㎡,南,2室2厅1卫,1500
6277,6277,整租·四叶红小区 2室1厅 南/北,七里河区,金港城,四叶红小区,62.00㎡,南 北,2室1厅1卫,1500
6278,6278,整租·兰州电力修造厂西家属院 2室1厅 南/北,七里河区,金港城,兰州电力修造厂西家属院,52.45㎡,南 北,2室1厅1卫,1500
6279,6279,整租·建工东院（建工中街） 2室1厅 南/北,七里河区,建工局,建工东院（建工中街）,73.00㎡,南 北,2室1厅1卫,1300
6280,6280,整租·兰港怡园B区 2室1厅 南/北,七里河区,晏家坪,兰港怡园B区,79.00㎡,南 北,2室1厅1卫,1100
6282,6282,整租·胶鞋厂家属院 2室1厅 南/北,七里河区,晏家坪,胶鞋厂家属院,75.00㎡,南 北,2室1厅1卫,1400
6283,6283,整租·石油小区（兰工坪路） 2室1厅 南/北,七里河区,晏家坪,石油小区（兰工坪路）,60.00㎡,南 北,2室1厅1卫,1300
6284,6284,整租·机车厂一区家属院 2室1厅 南/北,七里河区,建工局,机车厂一区家属院,55.00㎡,南 北,2室1厅1卫,1000
6285,6285,整租·西太华工贸集团小区 2室1厅 东/西,七里河区,晏家坪,西太华工贸集团小区,92.00㎡,东 西,2室1厅1卫,1400
6286,6286,整租·兰州农机公司北家属楼 2室1厅 东/西,七里河区,金港城,兰州农机公司北家属楼,60.00㎡,东 西,2室1厅1卫,1150
6287,6287,整租·兰州电力修造厂住宅（南滨河西路） 2室1厅 南/北,七里河区,金港城,兰州电力修造厂住宅（南滨河西路）,60.00㎡,南 北,2室1厅1卫,1400
6288,6288,整租·金港城（金宝花园） 2室1厅 南/西南,七里河区,金港城,金港城（金宝花园）,49.47㎡,南 西南,2室1厅1卫,1150
6289,6289,整租·铁路南场小区（建西西路） 2室1厅 东南/南,七里河区,西站,铁路南场小区（建西西路）,61.00㎡,东南 南,2室1厅1卫,1200
6290,6290,整租·建工苑景 2室2厅 西南,七里河区,晏家坪,建工苑景,90.00㎡,西南,2室2厅1卫,1400
6292,6292,整租·秀川新村 2室0厅 南,七里河区,秀川,秀川新村,48.00㎡,南,2室0厅1卫,1100
6295,6295,整租·国资委第三十八家园 2室1厅 南,七里河区,晏家坪,国资委第三十八家园,65.00㎡,南,2室1厅1卫,1400
6296,6296,整租·铁建馨苑 2室2厅 南/北,七里河区,龚家湾,铁建馨苑,98.00㎡,南 北,2室2厅1卫,1500
6297,6297,整租·铁建馨苑 2室1厅 南/北,七里河区,龚家湾,铁建馨苑,94.00㎡,南 北,2室1厅1卫,1500
6298,6298,整租·梅园小区 2室1厅 南/西,七里河区,五泉广场,梅园小区,96.88㎡,南 西,2室1厅1卫,1400
6299,6299,整租·梅园小区 2室1厅 南,七里河区,五泉广场,梅园小区,83.30㎡,南,2室1厅1卫,1200
6300,6300,整租·郑家庄新社区 2室2厅 北,七里河区,金港城,郑家庄新社区,83.00㎡,北,2室2厅1卫,1100
6301,6301,整租·兰石一分厂家属院 2室1厅 南,七里河区,仁恒美林郡,兰石一分厂家属院,60.00㎡,南,2室1厅1卫,1300
6302,6302,整租·宏建家属院（河湾堡西街） 2室2厅 东/西,七里河区,仁恒美林郡,宏建家属院（河湾堡西街）,92.00㎡,东 西,2室2厅1卫,1500
6303,6303,整租·丽景苑 2室1厅 东/西,七里河区,曦华源,丽景苑,75.12㎡,东 西,2室1厅1卫,1400
6304,6304,整租·丽景苑 2室1厅 南,七里河区,曦华源,丽景苑,76.00㎡,南,2室1厅1卫,1400
6305,6305,整租·省轻纺供销公司家属楼 2室1厅 东,七里河区,吴家园,省轻纺供销公司家属楼,54.65㎡,东,2室1厅1卫,1200
6306,6306,整租·宜和馨园 2室1厅 南/北,七里河区,西站,宜和馨园,87.00㎡,南 北,2室1厅1卫,1500
6307,6307,整租·天和苑 2室1厅 南/北,七里河区,西站,天和苑,46.00㎡,南 北,2室1厅1卫,1200
6308,6308,整租·吉安花园 2室1厅 南/北,七里河区,西站,吉安花园,60.00㎡,南 北,2室1厅1卫,1500
6309,6309,整租·兰西机务段宿舍 2室1厅 南/北,七里河区,西站,兰西机务段宿舍,80.00㎡,南 北,2室1厅1卫,1400
6310,6310,整租·兰通厂家属院 2室1厅 南/北,七里河区,郑家庄,兰通厂家属院,52.00㎡,南 北,2室1厅1卫,1100
6311,6311,整租·兰州市七里河区土门墩街道办事处 2室1厅 东/西,七里河区,郑家庄,兰州市七里河区土门墩街道办事处,75.32㎡,东 西,2室1厅1卫,1300
6312,6312,整租·新津小区东院 2室1厅 南/北,七里河区,建工局,新津小区东院,82.00㎡,南 北,2室1厅1卫,1100
6313,6313,整租·骆驼巷（高层） 2室1厅 南/北,七里河区,建工局,骆驼巷（高层）,113.00㎡,南 北,2室1厅1卫,1300
6314,6314,整租·国资委第三十八家园 2室1厅 西,七里河区,晏家坪,国资委第三十八家园,65.00㎡,西,2室1厅1卫,1300
6315,6315,整租·土门墩小区 2室1厅 南,七里河区,晏家坪,土门墩小区,70.00㎡,南,2室1厅1卫,1300
6316,6316,整租·土门墩小区 2室1厅 南,七里河区,晏家坪,土门墩小区,66.00㎡,南,2室1厅1卫,1300
6317,6317,整租·挺进嘉苑 2室2厅 南/北,七里河区,晏家坪,挺进嘉苑,100.58㎡,南 北,2室2厅1卫,1200
6318,6318,整租·城投孙家台小区 2室1厅 东南,七里河区,下西园,城投孙家台小区,90.00㎡,东南,2室1厅1卫,1500
6319,6319,整租·广健花园 2室2厅 南,七里河区,龚家湾,广健花园,92.00㎡,南,2室2厅1卫,1500
6322,6322,整租·国资物业新兰小区 2室1厅 南/北,七里河区,郑家庄,国资物业新兰小区,50.00㎡,南 北,2室1厅1卫,1300
6323,6323,整租·金港城（金安花园） 2室1厅 南/北,七里河区,金港城,金港城（金安花园）,63.00㎡,南 北,2室1厅1卫,1500
6324,6324,整租·兰州商通锅炉公司家属院 2室1厅 南,七里河区,晏家坪,兰州商通锅炉公司家属院,60.00㎡,南,2室1厅1卫,1300
6325,6325,整租·映河苑 2室1厅 南,七里河区,秀川,映河苑,83.00㎡,南,2室1厅1卫,1200
6326,6326,整租·兰电杨家桥小区 2室1厅 南,七里河区,晏家坪,兰电杨家桥小区,60.00㎡,南,2室1厅1卫,1300
6327,6327,整租·晏家坪小区 2室1厅 南/北,七里河区,晏家坪,晏家坪小区,50.00㎡,南 北,2室1厅1卫,1000
6328,6328,整租·梅园小区 2室2厅 西南,七里河区,五泉广场,梅园小区,97.56㎡,西南,2室2厅1卫,1500
6329,6329,整租·十二客运公司家属院 2室1厅 西,七里河区,仁恒美林郡,十二客运公司家属院,73.00㎡,西,2室1厅1卫,1500
6330,6330,整租·金港城（金福花园） 2室0厅 东/西,七里河区,金港城,金港城（金福花园）,45.00㎡,东 西,2室0厅1卫,1400
6331,6331,整租·苗圃花苑西区 2室2厅 南/北,七里河区,秀川,苗圃花苑西区,96.00㎡,南 北,2室2厅1卫,1500
6349,6349,整租·国资委第三十八家园 2室1厅 东/南,七里河区,晏家坪,国资委第三十八家园,65.00㎡,东 南,2室1厅1卫,1400
6350,6350,整租·瑞兴园南区 2室1厅 北,七里河区,兰工坪,瑞兴园南区,65.00㎡,北,2室1厅1卫,1400
6352,6352,整租·金港城（金海花园） 2室2厅 南/北,七里河区,金港城,金港城（金海花园）,84.00㎡,南 北,2室2厅1卫,1500
6353,6353,整租·第三勘查院晏家坪小区 2室1厅 南/北,七里河区,晏家坪,第三勘查院晏家坪小区,70.00㎡,南 北,2室1厅1卫,1300
6354,6354,整租·兰通厂家属院 2室1厅 东/南,七里河区,郑家庄,兰通厂家属院,83.68㎡,东 南,2室1厅1卫,1500
6355,6355,整租·职工医院家属院（西津西路） 2室2厅 南/北,七里河区,秀川,职工医院家属院（西津西路）,53.00㎡,南 北,2室2厅1卫,1200
6358,6358,整租·省送电公司家属院小区 2室1厅 南/北,七里河区,建工局,省送电公司家属院小区,50.00㎡,南 北,2室1厅1卫,1200
6359,6359,整租·骆驼巷（高层） 2室1厅 北,七里河区,建工局,骆驼巷（高层）,80.00㎡,北,2室1厅2卫,1200
6360,6360,整租·机车厂五区（兰工坪路） 2室1厅 南/北,七里河区,兰工坪,机车厂五区（兰工坪路）,88.00㎡,南 北,2室1厅1卫,1400
6361,6361,整租·机车厂五区（兰工坪路） 2室1厅 南/北,七里河区,兰工坪,机车厂五区（兰工坪路）,85.00㎡,南 北,2室1厅1卫,1300
6362,6362,整租·机车厂五区（兰工坪路） 2室1厅 南,七里河区,兰工坪,机车厂五区（兰工坪路）,77.00㎡,南,2室1厅1卫,1200
6363,6363,整租·兰州搪瓷厂家属院 2室1厅 南,七里河区,晏家坪,兰州搪瓷厂家属院,125.00㎡,南,2室1厅1卫,1330
6364,6364,整租·城南国际小区 2室1厅 东,七里河区,晏家坪,城南国际小区,110.00㎡,东,2室1厅1卫,1300
6365,6365,整租·兰州搪瓷厂家属院 2室1厅 北,七里河区,晏家坪,兰州搪瓷厂家属院,54.00㎡,北,2室1厅1卫,1200
6366,6366,整租·林家佳苑 2室1厅 东/西,七里河区,上西园,林家佳苑,70.00㎡,东 西,2室1厅1卫,1100
6367,6367,整租·矿机厂家属院 2室1厅 西,七里河区,上西园,矿机厂家属院,75.00㎡,西,2室1厅1卫,1300
6368,6368,整租·矿机厂家属院 2室2厅 东/西,七里河区,上西园,矿机厂家属院,80.00㎡,东 西,2室2厅1卫,1300
6370,6370,整租·西华苑小区 2室2厅 南/北,七里河区,小西湖,西华苑小区,105.00㎡,南 北,2室2厅1卫,1300
6371,6371,整租·城投孙家台小区 2室1厅 南,七里河区,下西园,城投孙家台小区,70.00㎡,南,2室1厅1卫,1200
